序号,园区企业名称,企业状态,所属园区,注册资本,法定代表人,成立日期,联系电话,国标行业一级,国标行业二级,国标行业三级,国标行业四级,所属省,所属市,所属区县
618,上海致斐贸易有限公司,在营,盛创企业家园二期(盛创科技园),200.00万元,徐安喜,2024-08-26,,批发和零售业,批发业,贸易经纪与代理,贸易代理,上海市,,嘉定区
619,上海汇千象装饰工程有限公司,在营,众璞园区,200.00万元,李金飞,2024-08-26,,建筑业,土木工程建筑业,电力工程施工,其他电力工程施工,上海市,,金山区
620,上海菌撷锐博生物医药科技有限公司,在营,创研智造,200.00万元,倪晨晔,2024-08-26,,科学研究和技术服务业,研究和试验发展,医学研究和试验发展,医学研究和试验发展,上海市,,浦东新区
621,禾新扬化学(上海)有限公司,在营,上海精细化工火炬创新创业园,200.00万元,乐华平,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新材料技术推广服务,上海市,,金山区
622,上海技鑫科技有限公司,在营,上海奉贤经济开发区生物科技园区,200.00万元,冯秋萍,2024-08-26,,制造业,金属制品、机械和设备修理业,通用设备修理,通用设备修理,上海市,,奉贤区
623,臻孚半导体材料(上海)有限公司,在营,临港新片区环湖产业园,200.00万元,杨冬明,2024-08-26,,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,工程和技术研究和试验发展,上海市,,浦东新区
624,上海望凌科技有限公司,在营,南桥镇西渡经济园区,200.00万元,王瑞琴,2024-08-26,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,其他未列明专业技术服务业,上海市,,奉贤区
625,上海优米格票务代理有限公司,在营,松江工业区佘山分区,100.00万元,倪银娟,2024-08-26,,租赁和商务服务业,商务服务业,会议、展览及相关服务,其他会议、展览及相关服务,上海市,,松江区
626,上海涌金米建设咨询有限公司,在营,富盛经济开发区创业园,100.00万元,张蓉,2024-08-26,,科学研究和技术服务业,专业技术服务业,工程技术与设计服务,工程管理服务,上海市,,崇明区
627,上海途兴人才服务中心(个人独资),在营,菊园软件信息孵化园(嘉乐园商务大厦),100.00万元,谢纪超,2024-08-26,,文化、体育和娱乐业,文化艺术业,文艺创作与表演,文艺创作与表演,上海市,,嘉定区
628,星空万年(上海)科技有限公司,在营,上海金山医疗器械服务产业园,100.00万元,方斌,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息系统集成和物联网技术服务,物联网技术服务,上海市,,金山区
629,上海旭泓燊技术有限公司,在营,紫竹科学园区,100.00万元,周鹏,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息处理和存储支持服务,信息处理和存储支持服务,上海市,,闵行区
630,上海昕侑亿新材料有限公司,在营,澧相健康科技园区,100.00万元,窦智强,2024-08-26,,批发和零售业,批发业,贸易经纪与代理,贸易代理,上海市,,浦东新区
631,上数新能源科技(上海)有限公司,在营,"上海浦东软件园(懿德路),浦东软件园三林园",100.00万元,丁炯,2024-08-26,,建筑业,建筑安装业,电气安装,电气安装,上海市,,浦东新区
632,上海承勋业企业管理合伙企业(有限合伙),在营,永丰都市产业园区,100.00万元,杨成一,2024-08-26,,租赁和商务服务业,商务服务业,会议、展览及相关服务,文化会展服务,上海市,,松江区
633,上海燕襄磐宇建筑有限公司,在营,菊园软件信息孵化园(嘉乐园商务大厦),100.00万元,夏雄燕,2024-08-26,,建筑业,建筑装饰、装修和其他建筑业,建筑装饰和装修业,住宅装饰和装修,上海市,,嘉定区
634,上海晓征企业发展有限公司,在营,上海奉贤经济开发区生物科技园区,100.00万元,高华忠,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,供应链管理服务,上海市,,奉贤区
635,上海广亿兴品牌管理有限公司,在营,上海奉贤经济开发区生物科技园区,100.00万元,林隆明,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,奉贤区
636,上海沪金申网络科技有限公司,在营,复旦软件园,100.00万元,王志伟,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务,上海市,,宝山区
637,上海璀晟科技发展有限公司,在营,上海漕河泾开发区松江高科技园,100.00万元,刘青青,2024-08-26,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,其他未列明专业技术服务业,上海市,,松江区
638,上海艾昇达贸易发展有限责任公司,在营,万祥标准厂房区,100.00万元,方献立,2024-08-26,,批发和零售业,批发业,贸易经纪与代理,贸易代理,上海市,,浦东新区
639,上海钜福钛塑化有限公司,在营,江海工业园,100.00万元,莫万勇,2024-08-26,,制造业,橡胶和塑料制品业,橡胶制品业,其他橡胶制品制造,上海市,,奉贤区
640,上海猫憩网络科技有限公司,在营,新业园(古美路),100.00万元,刘道欣,2024-08-26,,信息传输、软件和信息技术服务业,互联网和相关服务,其他互联网服务,其他互联网服务,上海市,,徐汇区
641,上海勉农实业有限公司,在营,聚诚创业园,100.00万元,张佩兰,2024-08-26,,批发和零售业,批发业,其他批发业,互联网批发,上海市,,浦东新区
642,上海铖寰电力器材有限公司,在营,万祥标准厂房区,100.00万元,张金平,2024-08-26,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,其他未列明专业技术服务业,上海市,,浦东新区
643,上海钧玉环保科技有限公司,在营,上海奉贤经济开发区生物科技园区,100.00万元,杜蕾,2024-08-26,,科学研究和技术服务业,专业技术服务业,环境与生态监测检测服务,环境保护监测,上海市,,奉贤区
644,上海顺贤集科技有限公司,在营,上海奉贤经济开发区生物科技园区,100.00万元,华贤路,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息系统集成和物联网技术服务,物联网技术服务,上海市,,奉贤区
645,厚收(上海)互联网科技有限公司,在营,奥奔高新产业园,100.00万元,管春莉,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新材料技术推广服务,上海市,,宝山区
646,上海仕忞化工科技有限公司,在营,上海国际化工生产性服务业功能区,100.00万元,舒守刚,2024-08-26,,制造业,化学原料和化学制品制造业,涂料、油墨、颜料及类似产品制造,涂料制造,上海市,,金山区
647,上海不惑之间信息科技有限公司,在营,上海申隆生态园,100.00万元,王启航,2024-08-26,,文化、体育和娱乐业,广播、电视、电影和录音制作业,影视节目制作,影视节目制作,上海市,,奉贤区
648,霖正(上海)网络科技有限公司,在营,松江工业区佘山分区,100.00万元,苗飘予,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,运行维护服务,运行维护服务,上海市,,松江区
649,上海迎策建筑工程有限公司,在营,嘉定工业区马陆园区,100.00万元,叶子婷,2024-08-26,,水利、环境和公共设施管理业,公共设施管理业,市政设施管理,市政设施管理,上海市,,嘉定区
650,上海倍能数智能科技有限公司,在营,漕河泾开发区赵巷园区,100.00万元,费彬,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,节能技术推广服务,上海市,,青浦区
651,怡养怡颜家居科技(上海)有限责任公司,在营,复旦软件园,100.00万元,王婷婷,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息系统集成和物联网技术服务,物联网技术服务,上海市,,宝山区
652,富荣通(上海)供应链有限公司,在营,马桥工业区,100.00万元,马倩,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,供应链管理服务,上海市,,闵行区
653,上海食瑞新农业科技有限公司,在营,上海市星火开发区,100.00万元,黄春晨,2024-08-26,,租赁和商务服务业,商务服务业,会议、展览及相关服务,旅游会展服务,上海市,,奉贤区
654,上海联翔嘉盛智能家居有限公司,在营,上海多媒体产业化基地,100.00万元,王雪阳,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,静安区
655,上海华富瑞赢新能源有限公司,在营,莲谷新兴科技产业园,100.00万元,李民,2024-08-26,,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,电力生产,太阳能发电,上海市,,闵行区
656,上海信易镕贸易有限公司,在营,万祥标准厂房区,100.00万元,李镕程,2024-08-26,,批发和零售业,批发业,机械设备、五金产品及电子产品批发,计算机、软件及辅助设备批发,上海市,,浦东新区
657,易凤农业科技(上海)有限公司,在营,明谷科技园,100.00万元,沈贤,2024-08-26,,批发和零售业,批发业,其他批发业,互联网批发,上海市,,闵行区
658,上海锐配数字科技有限公司,在营,栋霖科技园,100.00万元,王成辉,2024-08-26,,交通运输、仓储和邮政业,装卸搬运和仓储业,其他仓储业,其他仓储业,上海市,,宝山区
659,春华秋食(上海)供应链管理有限公司,在营,宝山工业园区(长建路),100.00万元,缪华艾,2024-08-26,,科学研究和技术服务业,研究和试验发展,农业科学研究和试验发展,农业科学研究和试验发展,上海市,,宝山区
660,上海颂迦供应链有限公司,在营,智霸科创园,100.00万元,陆佳文,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,供应链管理服务,上海市,,奉贤区
661,上海优之匠艺术设计装饰有限公司,在营,"中采服务贸易产业园,朱家角工业园",100.00万元,曾春娟,2024-08-26,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,专业设计服务,上海市,,青浦区
662,上海无倪设计策划有限公司,在营,富盛经济开发区创业园,100.00万元,张一峰,2024-08-26,,科学研究和技术服务业,专业技术服务业,工程技术与设计服务,规划设计管理,上海市,,崇明区
663,上海鸿缔科技有限公司,在营,七欣科工业园,100.00万元,党国文,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新材料技术推广服务,上海市,,松江区
664,税信通网络科技(上海)有限公司,在营,万祥标准厂房区,100.00万元,马静怡,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息系统集成和物联网技术服务,信息系统集成服务,上海市,,浦东新区
665,上海润蓝文化传播有限公司,在营,栋霖科技园,100.00万元,龚添友,2024-08-26,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,宝山区
666,上海阅己知文化传媒有限公司,在营,大宁中心广场,100.00万元,黄勤,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,静安区
667,顺了信息技术(上海)有限公司,在营,上海市星火开发区,100.00万元,赵玮,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息系统集成和物联网技术服务,信息系统集成服务,上海市,,奉贤区
668,上海凡飕仓储服务有限公司,在营,上海漕河泾开发区松江高科技园,100.00万元,王木兰,2024-08-26,,交通运输、仓储和邮政业,多式联运和运输代理业,运输代理业,货物运输代理,上海市,,松江区
669,上海鑫意珵健康科技有限公司,在营,金桥现代产业服务园区,100.00万元,彭椿桦,2024-08-26,,科学研究和技术服务业,研究和试验发展,医学研究和试验发展,医学研究和试验发展,上海市,,浦东新区
670,上海奥凯嘉博医疗器械技术服务有限公司,在营,嘉定国家高新技术产业开发区,100.00万元,李姝阅,2024-08-26,,科学研究和技术服务业,研究和试验发展,医学研究和试验发展,医学研究和试验发展,上海市,,嘉定区
671,上海卡士卡科技有限公司,在营,万祥标准厂房区,100.00万元,孙益良,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,浦东新区
672,上海婉颐电子商务有限公司,在营,上海申隆生态园,100.00万元,宛若泉,2024-08-26,,批发和零售业,批发业,文化、体育用品及器材批发,体育用品及器材批发,上海市,,奉贤区
673,上海试政贸易有限公司,在营,聚诚创业园,100.00万元,张芝兰,2024-08-26,,批发和零售业,批发业,其他批发业,互联网批发,上海市,,浦东新区
674,上海驭感科技有限公司,在营,上海安亭国际汽车城,100.00万元,刘桥林,2024-08-26,,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,工程和技术研究和试验发展,上海市,,嘉定区
675,上海寻琰企业管理有限公司,在营,聚惠领域总部园,100.00万元,翟思恒,2024-08-26,,房地产业,房地产业,物业管理,物业管理,上海市,,奉贤区
676,上海呈笔贸易有限公司,在营,聚诚创业园,100.00万元,张芝兰,2024-08-26,,批发和零售业,批发业,其他批发业,互联网批发,上海市,,浦东新区
677,上海艾鑫印数码科技有限公司,在营,菊园软件信息孵化园(嘉乐园商务大厦),100.00万元,杨卫利,2024-08-26,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,其他未列明专业技术服务业,上海市,,嘉定区
678,上海朱斯特服装有限公司,在营,万祥标准厂房区,100.00万元,朱鸿菲,2024-08-26,,文化、体育和娱乐业,广播、电视、电影和录音制作业,影视节目制作,影视节目制作,上海市,,浦东新区
679,寄张(上海)科技开发有限公司,在营,上海多媒体产业化基地,100.00万元,叶岳武,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,应用软件开发,上海市,,静安区
680,上海海创盛宏医疗科技有限公司,在营,嘉定国家高新技术产业开发区,100.00万元,张杰,2024-08-26,,科学研究和技术服务业,研究和试验发展,医学研究和试验发展,医学研究和试验发展,上海市,,嘉定区
681,上海芯航泓能源科技有限公司,在营,七欣科工业园,100.00万元,党国文,2024-08-26,,批发和零售业,批发业,机械设备、五金产品及电子产品批发,汽车及零配件批发,上海市,,松江区
682,上海佥望机电制造有限公司,在营,上海漕河泾综合保税区(三号路),100.00万元,许剑峰,2024-08-26,,制造业,计算机、通信和其他电子设备制造业,其他电子设备制造,其他电子设备制造,上海市,,闵行区
683,上海科仕文化有限公司,在营,菊园软件信息孵化园(嘉乐园商务大厦),100.00万元,张旭,2024-08-26,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,嘉定区
684,上海钟鹊教育科技有限公司,在营,栋霖科技园,100.00万元,李怡文,2024-08-26,,教育,教育,技能培训、教育辅助及其他教育,其他未列明教育,上海市,,宝山区
685,上海护家堡工程科技有限公司,在营,华强科技园,100.00万元,朴福姬,2024-08-26,,科学研究和技术服务业,专业技术服务业,工程技术与设计服务,规划设计管理,上海市,,嘉定区
686,上海岚栎贸电子材料有限公司,在营,松江青年创业园,100.00万元,吕英涛,2024-08-26,,批发和零售业,批发业,机械设备、五金产品及电子产品批发,其他机械设备及电子产品批发,上海市,,松江区
687,上海嘉定鸣啸科技有限公司,在营,上海安亭国际汽车城,100.00万元,彭星辉,2024-08-26,,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,工程和技术研究和试验发展,上海市,,嘉定区
688,上海锐珵信息科技有限公司,在营,富盛经济开发区创业园,100.00万元,王占胜,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,崇明区
689,美楹越(上海)科技有限公司,在营,上海金山医疗器械服务产业园,100.00万元,吴贝,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,宝山区
690,上海众二生物科技有限公司,在营,临港长兴科技园,100.00万元,轩传华,2024-08-26,,科学研究和技术服务业,研究和试验发展,医学研究和试验发展,医学研究和试验发展,上海市,,崇明区
691,上海能储不仓储物流有限公司,在营,高航物流园区,100.00万元,张仁龙,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,供应链管理服务,上海市,,浦东新区
692,依普邦(上海)新材料有限公司,在营,智霸科创园,100.00万元,单珊,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新材料技术推广服务,上海市,,奉贤区
693,上海玉犇贸易有限公司,在营,博济·F1088园区,100.00万元,刘俊,2024-08-26,,制造业,造纸和纸制品业,纸制品制造,其他纸制品制造,上海市,,闵行区
694,上海盈信通财务咨询管理有限公司,在营,星月虹桥中心,100.00万元,朱晶晶,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,商业综合体管理服务,上海市,,闵行区
695,上海照哥棒棒哒信息咨询有限公司,在营,静安盛达,100.00万元,周本琴,2024-08-26,,租赁和商务服务业,商务服务业,法律服务,其他法律服务,上海市,,静安区
696,缤琪灵科技(上海)有限公司,在营,"中国上海网络视听产业基地(紫叶广场),紫竹国家高新技术产业开发区",100.00万元,厉希皓,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,应用软件开发,上海市,,闵行区
697,上海敷索科技有限公司,在营,上海金领谷科技产业园,100.00万元,章炯,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,闵行区
698,稷厦(上海)设计工程工作室(个人独资),在营,上海市星火开发区,100.00万元,杨勇,2024-08-26,,科学研究和技术服务业,专业技术服务业,工程技术与设计服务,工程设计活动,上海市,,奉贤区
699,上海布文供应链管理有限公司,在营,众璞园区,100.00万元,周涛,2024-08-26,,交通运输、仓储和邮政业,多式联运和运输代理业,多式联运,多式联运,上海市,,金山区
700,普加尼家居用品(上海)有限公司,在营,临港长兴科技园,100.00万元,邱东豪,2024-08-26,,批发和零售业,批发业,贸易经纪与代理,贸易代理,上海市,,崇明区
701,上海泛化世机器人有限公司,在营,奇士科技产业园,80.00万元,宋奋韬,2024-08-26,,制造业,计算机、通信和其他电子设备制造业,智能消费设备制造,其他智能消费设备制造,上海市,,闵行区
702,上海旦弘健身管理有限公司,在营,松江工业区佘山分区,70.00万元,张子翩,2024-08-26,,文化、体育和娱乐业,体育,其他体育,体育健康服务,上海市,,松江区
703,上海磐石翔宇信息科技合伙企业(普通合伙),在营,万祥标准厂房区,70.00万元,唐国靖,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,浦东新区
704,上海叁颗心网络科技有限公司,在营,博济·F1088园区,51.00万元,葛金锁,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,运行维护服务,运行维护服务,上海市,,闵行区
705,上海宁之羽装饰设计工程有限公司,在营,万祥标准厂房区,50.00万元,刘小琴,2024-08-26,,科学研究和技术服务业,专业技术服务业,工程技术与设计服务,工程设计活动,上海市,,浦东新区
706,上海菲特洛电器有限公司,在营,上海青浦区移动智地,50.00万元,李岳武,2024-08-26,,制造业,计算机、通信和其他电子设备制造业,智能消费设备制造,其他智能消费设备制造,上海市,,青浦区
707,上海峰一建设工程有限公司,在营,上海金山医疗器械服务产业园,50.00万元,陆珠峰,2024-08-26,,建筑业,土木工程建筑业,铁路、道路、隧道和桥梁工程建筑,市政道路工程建筑,上海市,,宝山区
708,上海景奕塬贸易有限公司,在营,万祥标准厂房区,50.00万元,马绍琳,2024-08-26,,批发和零售业,批发业,矿产品、建材及化工产品批发,石油及制品批发,上海市,,浦东新区
709,上海悦研通医药科技有限公司,在营,上海北郊未来产业园,50.00万元,张俅,2024-08-26,,租赁和商务服务业,商务服务业,人力资源服务,创业指导服务,上海市,,宝山区
710,上海烬聿信息科技有限公司,在营,临港长兴科技园,50.00万元,沈思宇,2024-08-26,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,崇明区
711,上海与斌商贸有限公司,在营,上海金山医疗器械服务产业园,50.00万元,顾永康,2024-08-26,,批发和零售业,批发业,文化、体育用品及器材批发,文具用品批发,上海市,,宝山区
712,上海恒航迈塑化有限公司,在营,上海北郊未来产业园,50.00万元,莫启明,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新材料技术推广服务,上海市,,宝山区
713,上海浩菲建筑设计有限公司,在营,国浩长风城,50.00万元,王飞,2024-08-26,,科学研究和技术服务业,专业技术服务业,工程技术与设计服务,工程设计活动,上海市,,普陀区
714,卡普特(上海)电缆有限公司,在营,虹桥国际展汇,50.00万元,Soo Kok Keong,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,其他信息技术服务业,其他未列明信息技术服务业,上海市,,闵行区
715,上海渼含贸易有限公司,在营,上海赵巷新城经济区,50.00万元,严婷婷,2024-08-26,,批发和零售业,批发业,食品、饮料及烟草制品批发,酒、饮料及茶叶批发,上海市,,青浦区
716,上海仪文歆美健康管理有限公司,在营,东风商务园区,50.00万元,付国艳,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,长宁区
717,上海呈缆信息技术有限公司,在营,上海朱家角创业园区,50.00万元,张静济,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,青浦区
718,上海咎光照明设计工程有限公司,在营,栋霖科技园,50.00万元,杨安进,2024-08-26,,制造业,电气机械和器材制造业,照明器具制造,照明灯具制造,上海市,,宝山区
719,上海长曦风溢健康咨询合伙企业(有限合伙),在营,中广国际创意园,50.00万元,上海长耀风鸣健康管理咨询有限公司,2024-08-26,,租赁和商务服务业,商务服务业,组织管理服务,企业总部管理,上海市,,嘉定区
720,智臻联行(上海)数字科技有限公司,在营,智霸科创园,50.00万元,郭旭东,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,科技中介服务,科技中介服务,上海市,,奉贤区
721,上海钱虾餐饮管理有限公司,在营,创研智造,50.00万元,钱立,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,浦东新区
722,上海堡越咨询管理有限公司,在营,松江工业区佘山分区,50.00万元,冯悦,2024-08-26,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,松江区
723,上海东晖双康生物科技有限公司,在营,上海朱家角创业园区,50.00万元,张秋霞,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,青浦区
724,上海勤弧实业发展有限公司,在营,国家级上海松江经济技术开发区(中山街道),50.00万元,徐梦雅,2024-08-26,,科学研究和技术服务业,研究和试验发展,医学研究和试验发展,医学研究和试验发展,上海市,,松江区
725,上海千家万沪置业发展有限公司,在营,复旦软件园,50.00万元,张许华,2024-08-26,,房地产业,房地产业,其他房地产业,其他房地产业,上海市,,宝山区
726,上海革域信息科技有限公司,在营,临港长兴科技园,50.00万元,沈思宇,2024-08-26,,租赁和商务服务业,商务服务业,广告业,互联网广告服务,上海市,,崇明区
727,上海峻聪地坪材料有限公司,在营,上海奉贤经济开发区生物科技园区,50.00万元,喻泽明,2024-08-26,,批发和零售业,批发业,矿产品、建材及化工产品批发,建材批发,上海市,,奉贤区
728,上海长谷风繁健康咨询合伙企业(有限合伙),在营,中广国际创意园,50.00万元,上海长耀风鸣健康管理咨询有限公司,2024-08-26,,租赁和商务服务业,商务服务业,组织管理服务,企业总部管理,上海市,,嘉定区
729,上海青舍一家房产管理服务有限公司,在营,万祥标准厂房区,50.00万元,费维东,2024-08-26,,房地产业,房地产业,物业管理,物业管理,上海市,,浦东新区
730,上海施渤机械设备有限公司,在营,临港新片区环湖产业园,50.00万元,王娜,2024-08-26,,制造业,金属制品业,金属制日用品制造,金属制餐具和器皿制造,上海市,,浦东新区
731,上海苏源记食品有限公司,在营,上海国际化工生产性服务业功能区,50.00万元,丁承俊,2024-08-26,,批发和零售业,批发业,农、林、牧、渔产品批发,渔业产品批发,上海市,,金山区
732,上海眨松企业管理有限公司,在营,古北国际财富中心,50.00万元,杜洪彬,2024-08-26,,租赁和商务服务业,商务服务业,组织管理服务,企业总部管理,上海市,,长宁区
733,上海氧聚智创科技有限公司,在营,上海宝山科技园,50.00万元,黄湘波,2024-08-26,,制造业,化学原料和化学制品制造业,专用化学产品制造,其他专用化学产品制造,上海市,,宝山区
734,上海屿弘商务咨询有限公司,在营,上海奉贤经济开发区生物科技园区,50.00万元,高延彬,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,奉贤区
735,上海克罗诺智能信息科技有限公司,在营,菊园软件信息孵化园(嘉乐园商务大厦),50.00万元,章凝遥,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,应用软件开发,上海市,,嘉定区
736,上海金前富进出口贸易有限公司,在营,江海工业园,50.00万元,向平国,2024-08-26,,制造业,橡胶和塑料制品业,橡胶制品业,其他橡胶制品制造,上海市,,奉贤区
737,上海吾而空间设计工作室(个人独资),在营,明通文化创意产业园(三林路),50.00万元,刘玉,2024-08-26,,科学研究和技术服务业,专业技术服务业,工程技术与设计服务,工程设计活动,上海市,,浦东新区
738,上海欧克造物信息科技有限公司,在营,奥奔高新产业园,50.00万元,李筠萍,2024-08-26,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,宝山区
739,上海佟戊信息科技有限公司,在营,临港长兴科技园,50.00万元,何彪,2024-08-26,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,崇明区
740,上海益珈成企业管理有限公司,在营,上海奉贤经济开发区生物科技园区,50.00万元,陈诗盈,2024-08-26,,租赁和商务服务业,商务服务业,综合管理服务,供应链管理服务,上海市,,奉贤区
741,上海贤乡实业有限公司,在营,江海工业园,50.00万元,袁燕娜,2024-08-26,,批发和零售业,批发业,其他批发业,其他未列明批发业,上海市,,奉贤区
742,上海姝凡实业有限公司,在营,上海枫泾都市型工业园,50.00万元,张凡凡,2024-08-26,,信息传输、软件和信息技术服务业,互联网和相关服务,其他互联网服务,其他互联网服务,上海市,,金山区
743,上海联缮管理咨询合伙企业(有限合伙),在营,临港新片区环湖产业园,50.00万元,万思敏,2024-08-26,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,专业设计服务,上海市,,浦东新区
744,鑫沪新(上海)五金加工有限公司,在营,奥奔高新产业园,50.00万元,彭芳,2024-08-26,,制造业,通用设备制造业,通用零部件制造,紧固件制造,上海市,,宝山区
745,上海易法行信息服务有限公司,在营,万祥标准厂房区,50.00万元,张崴,2024-08-26,,租赁和商务服务业,商务服务业,法律服务,其他法律服务,上海市,,浦东新区
746,上海长墨风枝健康咨询合伙企业(有限合伙),在营,中广国际创意园,50.00万元,上海长耀风鸣健康管理咨询有限公司,2024-08-26,,租赁和商务服务业,商务服务业,组织管理服务,企业总部管理,上海市,,嘉定区
747,上海碧波堂电子商务有限公司,在营,奥奔高新产业园,50.00万元,徐波,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,宝山区
748,上海永立新玻璃制品有限公司,在营,上海市星火开发区,50.00万元,高九根,2024-08-26,,制造业,非金属矿物制品业,玻璃制品制造,日用玻璃制品制造,上海市,,奉贤区
749,上海致日传媒科技有限公司,在营,临港新片区环湖产业园,50.00万元,夏素香,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,浦东新区
750,上海欧赛立科技有限公司,在营,上海奉贤经济开发区生物科技园区,50.00万元,葛建勇,2024-08-26,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,奉贤区
751,博雅创联(上海)商务咨询有限公司,在营,临港新片区环湖产业园,50.00万元,孙志勇,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,浦东新区
752,上海志诚庆合企业咨询服务有限公司,在营,创研智造,50.00万元,胡庆,2024-08-26,,房地产业,房地产业,其他房地产业,其他房地产业,上海市,,浦东新区
753,上海今烨传媒科技有限公司,在营,李子园商务区,50.00万元,王美珍,2024-08-26,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,普陀区
754,上海芸鳐信息科技有限公司,在营,临港长兴科技园,50.00万元,袁悦,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,知识产权服务,知识产权服务,上海市,,崇明区
755,上海徽熵房地产营销策划有限公司,在营,众璞园区,50.00万元,胡敬林,2024-08-26,,房地产业,房地产业,其他房地产业,其他房地产业,上海市,,金山区
756,上海铂缮科技有限公司,在营,临港新片区环湖产业园,50.00万元,万思敏,2024-08-26,,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,上海市,,浦东新区
757,上海豫苏宝物流有限公司,在营,上海申隆生态园,50.00万元,田世鹏,2024-08-26,,交通运输、仓储和邮政业,多式联运和运输代理业,运输代理业,货物运输代理,上海市,,奉贤区
