序号,园区企业名称,企业状态,所属园区,注册资本,法定代表人,成立日期,联系电话,国标行业一级,国标行业二级,国标行业三级,国标行业四级,所属省,所属市,所属区县
32,上海聚友科诚生物技术有限公司,在营,上海金山医疗器械服务产业园,200.00万元,詹丽娟,2024-08-29,,科学研究和技术服务业,研究和试验发展,医学研究和试验发展,医学研究和试验发展,上海市,,金山区
33,上海慧吉凡自控阀门有限公司,在营,颛盛产业园,200.00万元,莫凡,2024-08-29,,制造业,通用设备制造业,泵、阀门、压缩机及类似机械制造,阀门和旋塞制造,上海市,,闵行区
34,上海蒙坤宇健康科技有限责任公司,在营,沧源科技园,200.00万元,邓雅文,2024-08-29,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,闵行区
35,上海智辰康盛科技有限公司,在营,上海市星火开发区,200.00万元,陆忠泽,2024-08-29,,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,工程和技术研究和试验发展,上海市,,奉贤区
36,上海惠贸达自动化设备有限公司,在营,智霸科创园,200.00万元,赵文彬,2024-08-29,,制造业,仪器仪表制造业,通用仪器仪表制造,工业自动控制系统装置制造,上海市,,奉贤区
37,赫客拉德(上海)厨具贸易有限公司,在营,国浩长风城,140.00万元,WINERDANIELROBERT,2024-08-29,,批发和零售业,批发业,机械设备、五金产品及电子产品批发,五金产品批发,上海市,,普陀区
38,上海斗禾科技有限公司,在营,众璞园区,102.00万元,张洋洋,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务,上海市,,金山区
39,泛致捷航运(上海)有限公司,在营,运动LOFT创意园区,100.00万元,沈矮方,2024-08-29,,交通运输、仓储和邮政业,水上运输业,水上运输辅助活动,其他水上运输辅助活动,上海市,,虹口区
40,上海宇樾信息科技有限公司,在营,菊园软件信息孵化园(嘉乐园商务大厦),100.00万元,潘宇,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,基础软件开发,上海市,,嘉定区
41,上海昉潭实业有限公司,在营,松江综合保税区,100.00万元,虞娇华,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,松江区
42,上海歌恩科技有限公司,在营,时尚谷创意园,100.00万元,李文枭,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息处理和存储支持服务,信息处理和存储支持服务,上海市,,松江区
43,埃尔海森科技(上海)有限公司,在营,临港新片区环湖产业园,100.00万元,张荔敏,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,浦东新区
44,上海同策同际企业发展有限公司,在营,国浩长风城,100.00万元,张增鹏,2024-08-29,,房地产业,房地产业,其他房地产业,其他房地产业,上海市,,普陀区
45,上海牛娃谷教育科技有限公司,在营,颛盛产业园,100.00万元,郭中兆,2024-08-29,,教育,教育,技能培训、教育辅助及其他教育,教育辅助服务,上海市,,闵行区
46,上海筌轩贸易有限公司,在营,启迪漕河泾(中山)科技园紫荆园,100.00万元,鲁仑峰,2024-08-29,,批发和零售业,批发业,贸易经纪与代理,贸易代理,上海市,,松江区
47,上海英瀚瑟智能科技有限公司,在营,盛创企业家园二期(盛创科技园),100.00万元,章国红,2024-08-29,,制造业,仪器仪表制造业,通用仪器仪表制造,工业自动控制系统装置制造,上海市,,嘉定区
48,上海鸥露精密机械有限公司,在营,松江综合保税区,100.00万元,顾静,2024-08-29,,制造业,铁路、船舶、航空航天和其他运输设备制造业,城市轨道交通设备制造,城市轨道交通设备制造,上海市,,松江区
49,艾兴哈里(上海)科技有限公司,在营,上海湾区科创中心,100.00万元,陈可文,2024-08-29,,批发和零售业,批发业,食品、饮料及烟草制品批发,其他食品批发,上海市,,金山区
50,上海耀一姚网络科技有限公司,在营,"中采服务贸易产业园,朱家角工业园",100.00万元,李发谈,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,数字内容服务,动漫、游戏数字内容服务,上海市,,青浦区
51,上海启典动艺科技有限责任公司,在营,临港新片区环湖产业园,100.00万元,姜文亮,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息技术咨询服务,信息技术咨询服务,上海市,,浦东新区
52,上海衍寇贸易有限公司,在营,奥奔高新产业园,100.00万元,龙应珍,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务,上海市,,宝山区
53,上海旭晖耀新能源有限公司,在营,南桥镇西渡经济园区,100.00万元,齐宗水,2024-08-29,,建筑业,土木工程建筑业,电力工程施工,太阳能发电工程施工,上海市,,奉贤区
54,上海善智强科技有限公司,在营,菊园软件信息孵化园(嘉乐园商务大厦),100.00万元,陈爱莲,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务,上海市,,嘉定区
55,上海骅岽实业发展有限公司,在营,松江青年创业园,100.00万元,黄邦希,2024-08-29,,制造业,计算机、通信和其他电子设备制造业,电子器件制造,显示器件制造,上海市,,松江区
56,上海维希库姆汽车科技有限公司,在营,临港新片区环湖产业园,100.00万元,张炯,2024-08-29,,制造业,汽车制造业,汽车零部件及配件制造,汽车零部件及配件制造,上海市,,浦东新区
57,上海即武医疗科技有限公司,在营,上海奉贤经济开发区生物科技园区,100.00万元,董秀荣,2024-08-29,,科学研究和技术服务业,专业技术服务业,工业与专业设计及其他专业技术服务,其他未列明专业技术服务业,上海市,,奉贤区
58,上海阿巷看房房产信息咨询服务有限公司,在营,复旦软件园,100.00万元,吕港,2024-08-29,,房地产业,房地产业,其他房地产业,其他房地产业,上海市,,宝山区
59,上海新福美新能源科技有限公司,在营,上海申隆生态园,100.00万元,宋利平,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新能源技术推广服务,上海市,,奉贤区
60,上海慧旻科技有限公司,在营,上海市星火开发区,100.00万元,李慧芳,2024-08-29,,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,应用软件开发,上海市,,奉贤区
61,上海元亨焜煜管理顾问有限公司,在营,江海工业园,100.00万元,陆辉华,2024-08-29,,房地产业,房地产业,其他房地产业,其他房地产业,上海市,,奉贤区
62,为禹微(上海)电子科技有限公司,在营,同济创园,100.00万元,詹晓东,2024-08-29,,制造业,计算机、通信和其他电子设备制造业,电子器件制造,集成电路制造,上海市,,宝山区
63,上海云找聚投信息服务有限公司,在营,中鑫企业广场,100.00万元,徐双龙,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,供应链管理服务,上海市,,普陀区
64,上海稳健纸新能源科技有限公司,在营,上海金领谷科技产业园,100.00万元,沈林芳,2024-08-29,,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,工程和技术研究和试验发展,上海市,,闵行区
65,上海协同辉耀企业发展有限公司,在营,临港新片区环湖产业园,100.00万元,郑娟,2024-08-29,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,浦东新区
66,上海泽金腾建筑装修工程有限公司,在营,红园1058企业总部,100.00万元,于炜林,2024-08-29,,建筑业,建筑装饰、装修和其他建筑业,建筑装饰和装修业,住宅装饰和装修,上海市,,闵行区
67,上海阳凡兴汽车服务有限公司,在营,盛创企业家园二期(盛创科技园),100.00万元,张旭阳,2024-08-29,,批发和零售业,零售业,汽车、摩托车、零配件和燃料及其他动力销售,汽车旧车零售,上海市,,嘉定区
68,上海万聚齐商务咨询有限公司,在营,复旦软件园,100.00万元,夏为哲,2024-08-29,,金融业,其他金融业,其他未列明金融业,其他未包括金融业,上海市,,宝山区
69,上海鑫沧海科技有限公司,在营,上海北郊未来产业园,100.00万元,宋学平,2024-08-29,,制造业,仪器仪表制造业,其他仪器仪表制造业,其他仪器仪表制造业,上海市,,宝山区
70,上海翼菲文化传媒有限公司,在营,"中国上海网络视听产业基地(紫叶广场),紫竹国家高新技术产业开发区",100.00万元,赵鑫全,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,新能源技术推广服务,上海市,,闵行区
71,上海釜崟建设工程有限公司,在营,上海精细化工火炬创新创业园,100.00万元,吴健磊,2024-08-29,,建筑业,房屋建筑业,房屋建筑业,房屋建筑业,上海市,,金山区
72,上海昉亦网络科技有限公司,在营,上海西郊商务区A区,100.00万元,何依密,2024-08-29,,信息传输、软件和信息技术服务业,互联网和相关服务,其他互联网服务,其他互联网服务,上海市,,嘉定区
73,上海皮大仁服饰有限公司,在营,上海枫泾都市型工业园,100.00万元,皮永刚,2024-08-29,,批发和零售业,批发业,其他批发业,互联网批发,上海市,,金山区
74,上海瑾炀科技有限公司,在营,华强科技园,100.00万元,陈应发,2024-08-29,,文化、体育和娱乐业,文化艺术业,其他文化艺术业,其他文化艺术业,上海市,,嘉定区
75,上海伍伍零体育发展有限公司,在营,上海朱家角创业园区,100.00万元,刘春艳,2024-08-29,,文化、体育和娱乐业,体育,体育组织,体育竞赛组织,上海市,,青浦区
76,仕珂睦斓(上海)贸易有限公司,在营,上海虹桥临空经济园区,100.00万元,姜小霞,2024-08-29,,批发和零售业,批发业,文化、体育用品及器材批发,首饰、工艺品及收藏品批发,上海市,,长宁区
77,上海遇恩贸易有限公司,在营,启迪漕河泾(中山)科技园紫荆园,100.00万元,符爱军,2024-08-29,,批发和零售业,批发业,贸易经纪与代理,贸易代理,上海市,,松江区
78,上海庭骏物业管理有限公司,在营,上海金山医疗器械服务产业园,100.00万元,吴迪,2024-08-29,,房地产业,房地产业,物业管理,物业管理,上海市,,宝山区
79,上海安睿信科安全技术有限公司,在营,国浩长风城,100.00万元,陈浩,2024-08-29,,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务,上海市,,普陀区
80,上海温柒科技有限公司,在营,奥奔高新产业园,100.00万元,陈旭,2024-08-29,,租赁和商务服务业,商务服务业,综合管理服务,其他综合管理服务,上海市,,宝山区
